player_name,age,games,games_played,minutes,minutes_90s,shots,passes,passes_total_distance,tackles,tackles_won,blocks,interceptions,touches,passes_received,fouls,fouled,aerials_won,aerials_lost,n_injuries,n_severe_injuries,currently_injured,position_DF,position_FW,position_GK,position_MF
Ederson,29.2739726,14,14,1260,14,0,524,10806,1,0,0,0,547,345,0,2,3,0,6,0,0,0,0,1,0
Rúben Dias,25.53424658,12,9,873,9.7,5,900,14982,6,3,9,12,972,762,10,3,26,13,4,0,0,1,0,0,0
Aymeric Laporte,28.49863014,4,3,286,3.2,7,250,3795,2,1,5,1,279,216,0,2,11,4,14,4,0,1,0,0,0
John Stones,28.49589041,9,8,731,8.1,5,642,10342,9,7,5,3,686,541,3,3,10,6,15,1,0,1,0,0,0
Nathan Ak�,27.76712329,8,7,571,6.3,3,617,9708,5,3,6,5,648,538,2,4,13,10,10,1,0,1,0,0,0
Manuel Akanji,27.35342466,8,8,701,7.8,9,609,9758,13,9,9,5,676,531,8,3,7,16,15,1,0,1,0,0,0
Sergio Gómez,22.22465753,5,0,111,1.2,2,88,1166,2,1,4,2,103,75,0,0,1,2,1,0,0,1,0,0,1
João Cancelo,28.49863014,14,14,1116,12.4,15,1083,15066,28,20,5,17,1188,892,10,14,24,10,7,0,0,1,0,0,0
Kyle Walker,32.49589041,7,7,560,6.2,1,608,9624,2,1,1,4,629,513,2,3,7,2,13,2,0,1,0,0,0
Rodri,26.42739726,13,13,1122,12.5,20,1206,20044,26,18,18,14,1316,1004,18,7,35,15,2,0,0,0,0,0,1
Kalvin Phillips,22.49589041,14,11,908,10.1,27,575,7090,10,5,12,3,676,544,4,12,9,17,3,0,0,1,1,0,0
Phil Foden,31.4109589,14,13,1131,12.6,34,740,10038,15,7,13,3,835,646,13,13,5,10,15,1,0,0,0,0,1
Kevin De Bruyne,28.29315068,14,12,1068,11.9,14,721,10307,22,10,9,7,832,632,9,9,0,3,7,1,0,0,1,0,1
Bernardo Silva,20.55616438,7,0,106,1.2,2,62,900,3,1,0,1,82,63,0,3,1,1,2,1,0,0,1,0,1
Cole Palmer,27.20821918,8,6,547,6.1,7,317,3693,5,1,1,2,361,300,5,17,6,2,9,3,0,0,1,0,0
Jack Grealish,31.75890411,9,4,372,4.1,12,254,3895,5,3,3,2,295,230,1,3,2,4,2,0,0,0,1,0,1
Riyad Mahrez,22.34794521,13,12,1037,11.5,49,194,1852,1,1,4,1,292,226,9,9,13,13,15,0,0,0,1,0,0
Erling Haaland,22.81643836,12,3,364,4,11,120,1329,7,4,6,0,157,124,6,2,3,5,0,0,0,0,1,0,1
Julián Álvarez,30.14794521,14,14,1260,14,0,515,10347,0,0,1,0,548,303,1,0,4,1,9,2,0,0,0,1,0
Alisson,31.38356164,14,14,1260,14,16,1143,20132,10,3,14,16,1277,920,5,0,38,12,14,3,0,1,0,0,0
Virgil van Dijk,23.50410959,2,1,112,1.2,0,85,1253,3,2,0,3,102,54,2,1,7,1,7,2,0,1,0,0,0
Ibrahima Konaté,25.50958904,12,9,887,9.9,3,856,14833,21,15,9,13,946,642,9,4,32,24,8,4,0,1,0,0,0
Joe Gomez,25.68219178,2,1,66,0.7,1,82,1364,2,1,0,2,88,60,1,0,4,0,3,0,0,1,0,0,0
Nathaniel Phillips,28.70958904,12,10,861,9.6,5,790,10648,5,3,9,4,843,558,5,3,8,10,9,0,0,1,0,0,0
Andrew Robertson,24.13424658,14,12,989,11,14,994,14030,15,13,8,13,1075,677,6,1,8,5,10,0,0,1,0,0,0
Trent Alexander-Arnold,29.09041096,14,11,997,11.1,5,737,10710,27,12,13,14,831,589,15,10,11,11,8,0,0,0,0,0,1
Fabinho,21.81917808,4,1,172,1.9,4,122,1635,4,2,1,1,148,120,2,4,0,0,2,1,0,0,0,0,1
Curtis Jones,32.44109589,12,7,648,7.2,9,533,7608,9,5,7,9,587,443,3,3,5,4,15,2,0,0,0,0,1
Jordan Henderson,29.27945205,3,0,32,0.4,0,7,107,0,0,0,0,8,10,1,2,0,1,15,5,0,0,1,0,0
Alex Oxlade-Chamberlain,36.89041096,12,4,469,5.2,5,354,5042,10,4,8,7,412,256,6,8,7,9,15,0,0,1,0,0,1
James Milner,19.64383562,14,10,859,9.5,19,524,6284,10,5,12,4,611,459,6,16,1,8,1,1,0,0,0,0,1
Harvey Elliott,25.86575342,8,7,613,6.8,16,256,3051,10,8,6,2,330,281,12,16,6,14,4,1,0,0,1,0,0
Luis Díaz,25.97534247,4,2,196,2.2,3,64,540,10,7,2,2,99,59,3,4,3,5,12,2,0,0,1,0,1
Diogo Jota,30.44657534,14,14,1236,13.7,50,373,3684,5,4,5,2,539,430,10,8,2,7,10,0,0,0,1,0,0
Mohamed Salah,23.42191781,10,7,604,6.7,39,146,1499,3,1,4,2,233,174,9,4,14,21,10,1,0,0,1,0,0
Darwin Núñez,31.14794521,13,11,929,10.3,33,439,4657,13,11,11,6,563,433,6,5,13,25,15,0,0,0,1,0,1
Roberto Firmino,30.7369863,9,8,765,8.5,0,268,4987,0,0,0,0,288,146,0,2,2,0,5,0,0,0,0,1,0
Edouard Mendy,28.14520548,6,6,495,5.5,0,200,3616,2,2,0,0,222,105,0,2,3,1,7,0,0,0,0,1,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
Kepa Arrizabalaga,21.93972603,2,2,180,2,2,140,1995,4,2,1,9,168,115,2,3,5,6,7,1,1,1,0,0,0
